Date,"it.wikipedia.org"
2020-07-28,3860487
2020-07-29,3744458
2020-07-30,4079029
2020-07-31,3851591
2020-08-01,2945640
2020-08-02,3132560
2020-08-03,3895284
2020-08-04,3844526
2020-08-05,3787088
2020-08-06,3577853
2020-08-07,3221683
2020-08-08,2505909
2020-08-09,2671284
2020-08-10,3340961
2020-08-11,3314260
2020-08-12,3216880
2020-08-13,3195649
2020-08-14,2955216
2020-08-15,2321844
2020-08-16,2763812
2020-08-17,3517412
2020-08-18,3616902
2020-08-19,3549236
2020-08-20,3495790
2020-08-21,3412658
2020-08-22,2860629
2020-08-23,3031049
2020-08-24,4231377
2020-08-25,4197300
2020-08-26,4088695
2020-08-27,4021733
2020-08-28,4180139
2020-08-29,3423863
2020-08-30,3490152
2020-08-31,4743811
2020-09-01,4445265
2020-09-02,4542078
2020-09-03,4389359
2020-09-04,4037653
2020-09-05,3100338
2020-09-06,3373668
2020-09-07,4727216
2020-09-08,4513144
2020-09-09,4456799
2020-09-10,4343789
2020-09-11,4216673
2020-09-12,3193459
2020-09-13,3414567
2020-09-14,4495653
2020-09-15,4415303
2020-09-16,4397117
2020-09-17,4284817
2020-09-18,4083621
2020-09-19,3115431
2020-09-20,3411757
2020-09-21,4651463
